#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (dB),Tom,Compasso,Adicionado em,Spotify ID,Camelot,ISRC,Gêneros_lista
1,Sympathy is a knife,Charli xcx,69,132,"hyperpop, art pop",BRAT,2024-06-07,02:31,151,72,71,5,0,58,0,40,-6,G Minor,4,2025-08-22,5c9tBmJKbTdn1vhzXHeAwW,6A,USAT22401343,"['hyperpop', 'art pop']"
2,Juno,Sabrina Carpenter,83,131,pop,Short n' Sweet,2024-08-23,03:43,223,63,73,5,0,64,0,20,-4,F Major,4,2025-08-22,21B4gaTWnTkuSh77iWEXdS,7B,USUM72404107,['pop']
3,16 CARRIAGES,Beyoncé,63,127,"pop, country",COWBOY CARTER,2024-03-29,03:47,227,53,46,38,0,34,0,10,-7,C♯/D♭ Major,4,2025-08-22,6XXxKsu3RJeN3ZvbMYrgQW,3B,USSM12401304,"['pop', 'country']"
4,CHIHIRO,Billie Eilish,87,110,pop,HIT ME HARD AND SOFT,2024-05-17,05:03,303,70,43,14,88,52,0,0,-13,G Major,4,2025-08-22,7BRD7x5pt8Lqa1eGYC4dzj,9B,USUM72401988,['pop']
5,we can't be friends (wait for your love),Ariana Grande,79,116,pop,eternal sunshine,2024-03-08,03:48,228,65,65,6,0,30,0,0,-8,F Major,4,2025-08-22,46kspZSY3aKmwQe7O77fCC,7B,USUM72317276,['pop']
6,Fortnight (feat. Post Malone),"Taylor Swift,Post Malone",83,192,pop,THE TORTURED POETS DEPARTMENT,2024-04-18,03:48,228,50,39,50,0,28,0,10,-11,B Major,4,2025-08-22,2OzhQlSqBEmt7hmkYxfT6m,1B,USUG12401028,['pop']
7,Happy Mistake,Lady Gaga,54,83,"art pop, pop",Harlequin,2024-09-27,04:05,245,42,29,19,0,16,0,10,-8,C Major,4,2025-08-22,5DQIZ8XC0EP7cfRFrtzY5h,8B,USUG12405111,"['art pop', 'pop']"
8,Juna,Clairo,80,142,bedroom pop,Charm,2024-07-12,03:15,195,61,71,24,10,45,0,10,-6,D#/E♭ Major,4,2025-08-22,2mWfVxEo4xZYDaz0v7hYrN,5B,USA2P2416229,['bedroom pop']
9,Floating On A Moment,Beth Gibbons,45,140,pop,Lives Outgrown,2024-05-17,05:26,326,48,42,60,4,16,0,0,-11,A Minor,4,2025-08-22,0WH39BFVGotzXe3torfzvK,8A,GBCEL2100652,['pop']
10,Water,Tyla,45,117,"afrobeats, pop",TYLA,2023-12-01,03:20,200,67,72,9,0,52,0,10,-3,D#/E♭ Minor,4,2025-08-22,4WzfrBu4t3LVv1BSKWugbW,2A,USSM12305126,"['afrobeats', 'pop']"
11,Image,Magdalena Bay,69,128,pop,Imaginal Disk,2024-08-23,03:32,212,61,86,0,17,85,0,10,-6,F Minor,3,2025-08-22,0QW0KPBXXv67haGjbtkRRB,4A,USQE92400097,['pop']
